psi_m,x_m,y_m
9.487042,8.817816,4.849409
9.484728,8.813874,4.847444
9.482397,8.809932,4.845470
9.480047,8.805989,4.843485
9.477680,8.802045,4.841489
9.475294,8.798101,4.839484
9.472891,8.794156,4.837468
9.470469,8.790210,4.835441
9.468029,8.786264,4.833404
9.465571,8.782318,4.831357
9.463094,8.778371,4.829299
9.460599,8.774424,4.827231
9.458085,8.770476,4.825152
9.455553,8.766528,4.823062
9.453002,8.762580,4.820962
9.450432,8.758631,4.818851
9.447844,8.754681,4.816730
9.445237,8.750732,4.814597
9.442611,8.746782,4.812454
9.439966,8.742832,4.810300
9.437302,8.738882,4.808135
9.434619,8.734931,4.805959
9.431917,8.730980,4.803772
9.429195,8.727029,4.801574
9.426455,8.723078,4.799365
9.423695,8.719127,4.797144
9.420916,8.715175,4.794913
9.418117,8.711224,4.792670
9.415299,8.707272,4.790416
9.412462,8.703320,4.788151
9.409605,8.699368,4.785875
9.406729,8.695417,4.783587
9.403833,8.691465,4.781289
9.400918,8.687513,4.778979
9.397983,8.683561,4.776658
9.395029,8.679610,4.774326
9.392055,8.675658,4.771983
9.389062,8.671707,4.769630
9.386049,8.667755,4.767266
9.383017,8.663804,4.764891
9.379965,8.659854,4.762506
9.376894,8.655903,4.760110
9.373804,8.651953,4.757704
9.370694,8.648003,4.755287
9.367565,8.644053,4.752860
9.364416,8.640104,4.750424
9.361248,8.636155,4.747977
9.358061,8.632207,4.745519
9.354855,8.628259,4.743053
9.351630,8.624311,4.740576
9.348386,8.620364,4.738089
9.345123,8.616418,4.735593
9.341841,8.612472,4.733088
9.338540,8.608527,4.730573
9.335220,8.604583,4.728048
9.331882,8.600639,4.725515
9.328525,8.596696,4.722972
9.325150,8.592754,4.720420
9.321756,8.588813,4.717859
9.318345,8.584873,4.715289
9.314914,8.580934,4.712711
9.311466,8.576995,4.710124
9.308000,8.573058,4.707528
9.304516,8.569121,4.704924
9.301015,8.565186,4.702311
9.297496,8.561252,4.699691
9.293959,8.557319,4.697062
9.290405,8.553388,4.694425
9.286834,8.549457,4.691780
9.283246,8.545528,4.689127
9.279642,8.541601,4.686467
9.276020,8.537675,4.683799
9.272382,8.533750,4.681124
9.268728,8.529827,4.678441
9.265058,8.525905,4.675751
9.261371,8.521985,4.673054
9.257669,8.518067,4.670350
9.253951,8.514151,4.667639
9.250218,8.510236,4.664921
9.246470,8.506323,4.662197
9.242706,8.502412,4.659466
9.238928,8.498503,4.656728
9.235135,8.494596,4.653984
9.231328,8.490692,4.651234
9.227507,8.486789,4.648478
9.223672,8.482888,4.645716
9.219823,8.478990,4.642948
9.215961,8.475094,4.640174
9.212085,8.471200,4.637395
9.208197,8.467309,4.634610
9.204296,8.463420,4.631819
9.200382,8.459534,4.629024
9.196456,8.455651,4.626223
9.192518,8.451770,4.623417
9.188569,8.447892,4.620606
9.184608,8.444016,4.617791
9.180636,8.440144,4.614970
9.176654,8.436274,4.612145
9.172661,8.432407,4.609316
9.168657,8.428543,4.606482
9.164644,8.424683,4.603644
9.160620,8.420825,4.600802
9.156588,8.416971,4.597956
9.152546,8.413120,4.595105
9.148496,8.409272,4.592251
9.144437,8.405428,4.589394
9.140370,8.401587,4.586532
9.136295,8.397750,4.583668
9.132213,8.393916,4.580799
9.128124,8.390086,4.577928
9.124027,8.386260,4.575053
9.119925,8.382437,4.572176
9.115816,8.378618,4.569295
9.111701,8.374804,4.566411
9.107580,8.370993,4.563525
9.103455,8.367186,4.560636
9.099325,8.363383,4.557745
9.095190,8.359584,4.554851
9.091051,8.355789,4.551954
9.086908,8.351999,4.549056
9.082762,8.348213,4.546155
9.078613,8.344431,4.543252
9.074461,8.340654,4.540347
9.070307,8.336881,4.537440
9.066150,8.333113,4.534532
9.061992,8.329349,4.531622
9.057833,8.325590,4.528710
9.053673,8.321836,4.525796
9.049513,8.318086,4.522881
9.045352,8.314341,4.519965
9.041191,8.310601,4.517047
9.037031,8.306866,4.514129
9.032872,8.303136,4.511209
9.028715,8.299411,4.508288
9.024559,8.295691,4.505366
9.020405,8.291976,4.502443
9.016254,8.288266,4.499519
9.012105,8.284561,4.496595
9.007960,8.280862,4.493670
9.003818,8.277167,4.490744
8.999680,8.273479,4.487818
8.995546,8.269795,4.484891
8.991418,8.266117,4.481964
8.987294,8.262444,4.479037
8.983176,8.258777,4.476109
8.979063,8.255115,4.473182
8.974957,8.251459,4.470254
8.970858,8.247808,4.467326
8.966765,8.244164,4.464398
8.962680,8.240524,4.461470
8.958603,8.236891,4.458542
8.954533,8.233263,4.455615
8.950472,8.229640,4.452688
8.946420,8.226024,4.449761
8.942378,8.222414,4.446834
8.938344,8.218809,4.443908
8.934321,8.215210,4.440982
8.930308,8.211617,4.438057
8.926306,8.208030,4.435132
8.922315,8.204448,4.432208
8.918335,8.200873,4.429285
8.914367,8.197304,4.426363
8.910411,8.193741,4.423441
8.906468,8.190183,4.420520
8.902538,8.186632,4.417600
8.898620,8.183087,4.414681
8.894717,8.179548,4.411763
8.890827,8.176014,4.408845
8.886952,8.172487,4.405929
8.883091,8.168966,4.403015
8.879245,8.165451,4.400101
8.875414,8.161943,4.397188
8.871599,8.158440,4.394277
8.867800,8.154944,4.391367
8.864018,8.151454,4.388457
8.860252,8.147971,4.385550
8.856503,8.144494,4.382643
8.852771,8.141024,4.379737
8.849057,8.137560,4.376833
8.845361,8.134104,4.373929
8.841684,8.130654,4.371027
8.838025,8.127211,4.368126
8.834385,8.123775,4.365226
8.830764,8.120345,4.362328
8.827163,8.116923,4.359430
8.823582,8.113508,4.356534
8.820021,8.110100,4.353638
8.816481,8.106699,4.350744
8.812961,8.103306,4.347851
8.809463,8.099920,4.344959
8.805986,8.096540,4.342068
8.802531,8.093169,4.339179
8.799098,8.089804,4.336290
8.795688,8.086447,4.333403
