psi_m,x_m,y_m,x_d,psi_d,y_d
18.898612,4.232210,-2.809927,4.288617,-0.215184,-2.818798
18.901446,4.236182,-2.811868,4.291059,-0.214846,-2.819331
18.904289,4.240151,-2.813813,4.293502,-0.214509,-2.819864
18.907140,4.244115,-2.815762,4.295945,-0.214173,-2.820395
18.910000,4.248074,-2.817714,4.298388,-0.213836,-2.820926
18.912869,4.252029,-2.819670,4.300831,-0.213499,-2.821456
18.915747,4.255980,-2.821629,4.303274,-0.213163,-2.821986
18.918633,4.259926,-2.823592,4.305718,-0.212826,-2.822514
18.921528,4.263868,-2.825559,4.308161,-0.212490,-2.823042
18.924431,4.267804,-2.827529,4.310605,-0.212154,-2.823569
18.927343,4.271736,-2.829503,4.313049,-0.211817,-2.824095
18.930263,4.275663,-2.831481,4.315494,-0.211481,-2.824620
18.933191,4.279586,-2.833463,4.317938,-0.211146,-2.825144
18.936128,4.283503,-2.835448,4.320382,-0.210810,-2.825668
18.939073,4.287416,-2.837438,4.322827,-0.210474,-2.826191
18.942027,4.291323,-2.839431,4.325272,-0.210139,-2.826712
18.944989,4.295226,-2.841428,4.327717,-0.209803,-2.827234
18.947958,4.299123,-2.843430,4.330162,-0.209468,-2.827754
18.950936,4.303015,-2.845435,4.332608,-0.209133,-2.828273
18.953922,4.306902,-2.847444,4.335054,-0.208798,-2.828792
18.956916,4.310783,-2.849458,4.337499,-0.208463,-2.829310
18.959917,4.314660,-2.851475,4.339945,-0.208128,-2.829827
18.962927,4.318531,-2.853497,4.342391,-0.207793,-2.830343
18.965944,4.322396,-2.855523,4.344838,-0.207458,-2.830858
18.968968,4.326256,-2.857554,4.347284,-0.207124,-2.831373
18.972001,4.330110,-2.859589,4.349731,-0.206790,-2.831886
18.975041,4.333959,-2.861628,4.352178,-0.206455,-2.832399
18.978088,4.337802,-2.863671,4.354625,-0.206121,-2.832911
18.981142,4.341640,-2.865719,4.357072,-0.205787,-2.833423
18.984204,4.345471,-2.867772,4.359519,-0.205453,-2.833933
18.987273,4.349297,-2.869829,4.361967,-0.205119,-2.834443
18.990349,4.353117,-2.871890,4.364414,-0.204785,-2.834951
18.993433,4.356931,-2.873956,4.366862,-0.204452,-2.835459
18.996523,4.360739,-2.876027,4.369310,-0.204118,-2.835967
18.999619,4.364541,-2.878103,4.371758,-0.203785,-2.836473
19.002723,4.368337,-2.880183,4.374207,-0.203452,-2.836978
19.005833,4.372127,-2.882269,4.376655,-0.203118,-2.837483
19.008950,4.375911,-2.884359,4.379104,-0.202785,-2.837987
19.012073,4.379688,-2.886454,4.381553,-0.202452,-2.838490
19.015202,4.383460,-2.888554,4.384002,-0.202119,-2.838992
19.018337,4.387225,-2.890659,4.386451,-0.201787,-2.839494
19.021479,4.390983,-2.892769,4.388900,-0.201454,-2.839995
19.024627,4.394735,-2.894884,4.391350,-0.201122,-2.840494
19.027780,4.398481,-2.897005,4.393800,-0.200789,-2.840993
19.030939,4.402220,-2.899130,4.396249,-0.200457,-2.841492
19.034104,4.405953,-2.901261,4.398700,-0.200125,-2.841989
19.037274,4.409679,-2.903397,4.401150,-0.199792,-2.842486
19.040450,4.413398,-2.905538,4.403600,-0.199460,-2.842981
19.043631,4.417110,-2.907685,4.406051,-0.199129,-2.843476
19.046817,4.420816,-2.909838,4.408501,-0.198797,-2.843970
19.050008,4.424515,-2.911996,4.410952,-0.198465,-2.844464
19.053203,4.428207,-2.914159,4.413403,-0.198133,-2.844956
19.056404,4.431893,-2.916328,4.415854,-0.197802,-2.845448
19.059609,4.435571,-2.918503,4.418306,-0.197471,-2.845939
19.062819,4.439242,-2.920683,4.420757,-0.197139,-2.846429
