psi_m,x_m,y_m,psi_d,x_d,y_d
2.822052,7.490497,-0.162659,3.087543,6.449031,2.987878
2.823425,7.492460,-0.159476,3.087845,6.446535,2.988012
2.824795,7.494422,-0.156290,3.088148,6.444039,2.988146
2.826162,7.496382,-0.153102,3.088450,6.441542,2.988280
2.827526,7.498341,-0.149912,3.088752,6.439046,2.988412
2.828888,7.500298,-0.146719,3.089054,6.436549,2.988544
2.830247,7.502253,-0.143525,3.089357,6.434053,2.988675
2.831603,7.504206,-0.140328,3.089659,6.431556,2.988805
2.832956,7.506158,-0.137129,3.089961,6.429059,2.988934
2.834305,7.508108,-0.133928,3.090263,6.426563,2.989063
2.835652,7.510056,-0.130725,3.090565,6.424066,2.989191
2.836995,7.512003,-0.127520,3.090867,6.421569,2.989318
2.838335,7.513947,-0.124312,3.091169,6.419072,2.989444
2.839672,7.515890,-0.121103,3.091471,6.416576,2.989570
2.841005,7.517831,-0.117891,3.091773,6.414079,2.989695
2.842335,7.519771,-0.114678,3.092075,6.411582,2.989819
2.843662,7.521708,-0.111462,3.092377,6.409085,2.989942
2.844985,7.523644,-0.108245,3.092679,6.406588,2.990065
2.846304,7.525577,-0.105025,3.092981,6.404091,2.990187
2.847619,7.527509,-0.101804,3.093283,6.401594,2.990308
2.848931,7.529439,-0.098580,3.093585,6.399097,2.990428
2.850239,7.531367,-0.095355,3.093887,6.396599,2.990548
2.851543,7.533294,-0.092127,3.094188,6.394102,2.990666
2.852843,7.535218,-0.088898,3.094490,6.391605,2.990785
2.854140,7.537140,-0.085667,3.094792,6.389108,2.990902
2.855432,7.539061,-0.082434,3.095094,6.386611,2.991018
2.856720,7.540979,-0.079198,3.095395,6.384113,2.991134
2.858004,7.542896,-0.075962,3.095697,6.381616,2.991249
2.859284,7.544810,-0.072723,3.095999,6.379119,2.991364
2.860559,7.546723,-0.069482,3.096300,6.376621,2.991477
2.861830,7.548633,-0.066240,3.096602,6.374124,2.991590
2.863097,7.550541,-0.062996,3.096904,6.371626,2.991702
2.864360,7.552448,-0.059750,3.097205,6.369129,2.991813
2.865618,7.554352,-0.056502,3.097507,6.366631,2.991924
2.866871,7.556254,-0.053252,3.097808,6.364134,2.992034
2.868120,7.558154,-0.050001,3.098110,6.361636,2.992143
2.869364,7.560052,-0.046748,3.098411,6.359138,2.992251
2.870604,7.561948,-0.043493,3.098713,6.356641,2.992359
2.871839,7.563842,-0.040237,3.099014,6.354143,2.992466
2.873069,7.565734,-0.036979,3.099316,6.351645,2.992572
2.874295,7.567623,-0.033719,3.099617,6.349147,2.992677
2.875515,7.569510,-0.030458,3.099919,6.346649,2.992781
2.876731,7.571395,-0.027195,3.100220,6.344152,2.992885
2.877942,7.573278,-0.023930,3.100521,6.341654,2.992988
