x_in,y_in
1.903728,-0.799085
1.907575,-0.800468
1.911415,-0.801843
1.915248,-0.803213
1.919074,-0.804577
1.922893,-0.805934
1.926705,-0.807286
1.930510,-0.808631
1.934308,-0.809970
1.938099,-0.811303
1.941884,-0.812629
1.945661,-0.813950
1.949432,-0.815264
1.953196,-0.816572
1.956953,-0.817874
1.960703,-0.819169
1.964446,-0.820458
1.968183,-0.821741
1.971913,-0.823018
1.975636,-0.824289
1.979353,-0.825553
1.983063,-0.826811
1.986767,-0.828062
1.990464,-0.829307
1.994154,-0.830546
1.997838,-0.831779
2.001516,-0.833005
2.005187,-0.834225
2.008851,-0.835439
2.012510,-0.836646
2.016162,-0.837847
2.019808,-0.839041
2.023447,-0.840230
2.027081,-0.841411
2.030708,-0.842587
2.034329,-0.843756
2.037944,-0.844918
2.041553,-0.846075
2.045156,-0.847225
2.048753,-0.848368
2.052345,-0.849505
2.055930,-0.850636
2.059509,-0.851760
2.063083,-0.852878
2.066651,-0.853989
2.070214,-0.855094
2.073771,-0.856193
2.077322,-0.857285
2.080868,-0.858370
2.084408,-0.859450
2.087943,-0.860522
2.091472,-0.861589
2.094996,-0.862649
2.098515,-0.863702
2.102028,-0.864749
2.105537,-0.865790
2.109040,-0.866824
2.112538,-0.867852
2.116032,-0.868873
2.119520,-0.869888
2.123003,-0.870896
2.126482,-0.871899
2.129956,-0.872894
2.133425,-0.873883
2.136889,-0.874866
2.140349,-0.875842
2.143804,-0.876812
2.147254,-0.877776
2.150701,-0.878733
2.154142,-0.879683
2.157580,-0.880628
2.161013,-0.881566
2.164442,-0.882497
2.167867,-0.883422
2.171287,-0.884341
2.174704,-0.885253
2.178117,-0.886159
2.181525,-0.887059
2.184930,-0.887952
2.188331,-0.888839
2.191729,-0.889719
2.195122,-0.890593
2.198512,-0.891461
2.201899,-0.892323
2.205282,-0.893178
2.208661,-0.894027
2.212037,-0.894869
2.215410,-0.895705
2.218780,-0.896535
2.222146,-0.897359
2.225509,-0.898177
2.228869,-0.898988
2.232227,-0.899793
2.235581,-0.900592
2.238932,-0.901384
2.242281,-0.902170
2.245627,-0.902951
2.248970,-0.903725
2.252310,-0.904492
2.255648,-0.905254
2.258984,-0.906009
2.262317,-0.906759
2.265647,-0.907502
2.268975,-0.908239
2.272301,-0.908970
2.275625,-0.909695
2.278947,-0.910414
2.282267,-0.911127
2.285584,-0.911833
2.288900,-0.912534
2.292214,-0.913229
2.295526,-0.913918
2.298837,-0.914601
2.302145,-0.915277
2.305452,-0.915948
2.308758,-0.916613
2.312062,-0.917272
2.315364,-0.917926
2.318665,-0.918573
2.321965,-0.919214
2.325264,-0.919850
2.328561,-0.920480
2.331858,-0.921104
2.335153,-0.921722
2.338447,-0.922334
2.341740,-0.922941
2.345033,-0.923542
2.348324,-0.924137
2.351615,-0.924727
2.354905,-0.925311
2.358195,-0.925889
2.361484,-0.926462
2.364772,-0.927029
2.368060,-0.927590
2.371348,-0.928146
2.374635,-0.928696
2.377922,-0.929241
2.381209,-0.929780
2.384495,-0.930314
2.387781,-0.930843
2.391068,-0.931366
2.394354,-0.931883
2.397641,-0.932395
2.400927,-0.932902
2.404214,-0.933403
2.407501,-0.933899
2.410788,-0.934390
2.414076,-0.934875
2.417364,-0.935355
2.420653,-0.935830
2.423942,-0.936300
2.427231,-0.936764
2.430522,-0.937224
2.433813,-0.937678
2.437104,-0.938127
2.440397,-0.938571
2.443690,-0.939010
2.446984,-0.939444
2.450279,-0.939872
2.453575,-0.940296
2.456872,-0.940715
2.460171,-0.941129
2.463470,-0.941538
2.466771,-0.941942
2.470072,-0.942341
2.473375,-0.942735
2.476680,-0.943124
2.479986,-0.943509
2.483293,-0.943889
2.486601,-0.944264
2.489912,-0.944634
2.493223,-0.945000
2.496537,-0.945361
2.499852,-0.945717
2.503169,-0.946068
2.506487,-0.946415
2.509808,-0.946758
2.513130,-0.947096
2.516454,-0.947429
2.519780,-0.947758
2.523108,-0.948082
2.526438,-0.948402
2.529770,-0.948717
2.533105,-0.949028
2.536441,-0.949335
2.539780,-0.949637
2.543121,-0.949935
2.546464,-0.950228
2.549810,-0.950518
2.553158,-0.950803
2.556509,-0.951083
2.559862,-0.951360
2.563217,-0.951632
2.566576,-0.951900
2.569936,-0.952164
2.573300,-0.952424
2.576666,-0.952680
2.580035,-0.952931
2.583406,-0.953179
2.586781,-0.953423
2.590158,-0.953662
2.593539,-0.953898
2.596922,-0.954129
2.600308,-0.954357
2.603697,-0.954581
2.607090,-0.954801
2.610485,-0.955016
2.613884,-0.955229
2.617285,-0.955437
2.620690,-0.955641
2.624099,-0.955842
2.627510,-0.956039
2.630925,-0.956232
2.634343,-0.956422
2.637765,-0.956607
2.641190,-0.956790
2.644619,-0.956968
2.648051,-0.957143
2.651487,-0.957314
2.654926,-0.957482
2.658369,-0.957646
2.661815,-0.957806
2.665265,-0.957963
2.668719,-0.958117
2.672177,-0.958267
2.675639,-0.958413
2.679104,-0.958556
2.682573,-0.958696
2.686046,-0.958832
2.689523,-0.958965
2.693004,-0.959094
2.696489,-0.959220
2.699978,-0.959343
2.703471,-0.959462
2.706967,-0.959578
2.710469,-0.959691
2.713974,-0.959801
2.717483,-0.959907
2.720997,-0.960010
2.724514,-0.960110
2.728036,-0.960207
2.731562,-0.960300
2.735093,-0.960390
2.738627,-0.960478
2.742167,-0.960562
2.745710,-0.960643
2.749258,-0.960720
2.752810,-0.960795
2.756366,-0.960867
2.759927,-0.960935
2.763493,-0.961001
2.767062,-0.961063
2.770637,-0.961123
2.774216,-0.961179
2.777799,-0.961233
2.781387,-0.961283
2.784979,-0.961331
2.788576,-0.961375
2.792178,-0.961417
2.795784,-0.961456
2.799394,-0.961492
2.803010,-0.961525
2.806630,-0.961555
2.810254,-0.961582
2.813883,-0.961606
2.817517,-0.961627
2.821156,-0.961646
2.824799,-0.961661
2.828447,-0.961674
2.832100,-0.961684
2.835757,-0.961691
2.839419,-0.961696
