x_in,y_in,x_d,y_d
1.308139,-1.333271,0.779864,1.993909
1.311770,-1.334502,0.781787,1.993879
1.315403,-1.335723,0.783728,1.993848
1.319039,-1.336935,0.785687,1.993817
1.322677,-1.338138,0.787663,1.993786
1.326318,-1.339331,0.789657,1.993755
1.329962,-1.340515,0.791668,1.993723
1.333608,-1.341689,0.793697,1.993691
1.337256,-1.342854,0.795742,1.993658
1.340907,-1.344010,0.797805,1.993625
1.344560,-1.345157,0.799884,1.993592
1.348216,-1.346294,0.801981,1.993558
1.351874,-1.347422,0.804093,1.993524
1.355534,-1.348541,0.806222,1.993489
1.359196,-1.349651,0.808368,1.993455
1.362861,-1.350751,0.810530,1.993420
1.366527,-1.351843,0.812707,1.993384
1.370196,-1.352925,0.814901,1.993348
1.373867,-1.353998,0.817110,1.993312
1.377540,-1.355062,0.819336,1.993276
1.381214,-1.356116,0.821576,1.993239
1.384891,-1.357162,0.823832,1.993201
1.388570,-1.358199,0.826104,1.993164
1.392250,-1.359226,0.828390,1.993126
1.395932,-1.360245,0.830692,1.993088
1.399616,-1.361254,0.833009,1.993049
1.403302,-1.362255,0.835340,1.993010
1.406989,-1.363246,0.837686,1.992970
1.410678,-1.364229,0.840047,1.992931
1.414368,-1.365203,0.842422,1.992891
1.418061,-1.366167,0.844811,1.992850
1.421754,-1.367123,0.847215,1.992809
1.425449,-1.368070,0.849633,1.992768
1.429146,-1.369008,0.852064,1.992727
1.432844,-1.369937,0.854510,1.992685
1.436543,-1.370858,0.856969,1.992643
1.440244,-1.371769,0.859442,1.992600
1.443946,-1.372672,0.861929,1.992557
1.447649,-1.373566,0.864429,1.992514
1.451354,-1.374451,0.866942,1.992470
1.455060,-1.375327,0.869468,1.992426
1.458766,-1.376195,0.872008,1.992382
1.462474,-1.377054,0.874560,1.992337
1.466183,-1.377905,0.877125,1.992292
1.469894,-1.378746,0.879703,1.992246
1.473605,-1.379579,0.882294,1.992200
1.477317,-1.380404,0.884897,1.992154
1.481030,-1.381219,0.887513,1.992108
1.484744,-1.382027,0.890141,1.992061
1.488458,-1.382825,0.892781,1.992013
1.492174,-1.383615,0.895433,1.991966
1.495890,-1.384397,0.898097,1.991918
1.499608,-1.385170,0.900774,1.991870
1.503326,-1.385934,0.903461,1.991821
1.507044,-1.386690,0.906161,1.991772
1.510763,-1.387438,0.908872,1.991722
1.514483,-1.388177,0.911595,1.991673
1.518204,-1.388907,0.914329,1.991622
1.521925,-1.389629,0.917074,1.991572
1.525647,-1.390343,0.919831,1.991521
1.529369,-1.391049,0.922599,1.991470
1.533091,-1.391746,0.925377,1.991418
1.536814,-1.392435,0.928167,1.991366
1.540538,-1.393115,0.930967,1.991314
1.544262,-1.393787,0.933778,1.991261
1.547986,-1.394451,0.936600,1.991208
1.551710,-1.395107,0.939432,1.991155
1.555435,-1.395754,0.942274,1.991101
1.559160,-1.396393,0.945127,1.991047
1.562885,-1.397024,0.947990,1.990993
1.566610,-1.397647,0.950863,1.990938
1.570336,-1.398261,0.953746,1.990883
1.574061,-1.398868,0.956639,1.990827
1.577787,-1.399466,0.959542,1.990771
1.581513,-1.400056,0.962455,1.990715
1.585239,-1.400638,0.965378,1.990659
1.588965,-1.401212,0.968310,1.990602
1.592690,-1.401778,0.971251,1.990544
1.596416,-1.402336,0.974202,1.990487
1.600142,-1.402885,0.977162,1.990429
1.603867,-1.403427,0.980131,1.990370
1.607593,-1.403961,0.983110,1.990311
1.611318,-1.404487,0.986097,1.990252
1.615043,-1.405005,0.989094,1.990193
1.618768,-1.405515,0.992099,1.990133
1.622492,-1.406017,0.995113,1.990073
1.626217,-1.406511,0.998136,1.990012
1.629941,-1.406997,1.001168,1.989951
1.633664,-1.407476,1.004208,1.989890
1.637387,-1.407946,1.007256,1.989828
1.641110,-1.408409,1.010313,1.989766
1.644833,-1.408864,1.013378,1.989704
1.648555,-1.409311,1.016452,1.989641
