psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat
2.979535,0.033961,4.664445,-0.266060,12.670457,-2.511988,-1.912605,0.577030
2.980012,0.034277,4.664531,-0.263415,12.672483,-2.514469,-1.912872,0.577059
2.980489,0.034593,4.664613,-0.260769,12.674502,-2.516950,-1.913138,0.577087
2.980965,0.034909,4.664690,-0.258122,12.676515,-2.519432,-1.913402,0.577116
2.981442,0.035225,4.664764,-0.255474,12.678521,-2.521914,-1.913665,0.577144
2.981918,0.035540,4.664832,-0.252826,12.680520,-2.524396,-1.913927,0.577172
2.982394,0.035856,4.664897,-0.250177,12.682513,-2.526878,-1.914188,0.577200
2.982871,0.036171,4.664957,-0.247528,12.684499,-2.529360,-1.914448,0.577228
2.983347,0.036487,4.665012,-0.244878,12.686478,-2.531843,-1.914707,0.577256
2.983822,0.036802,4.665064,-0.242227,12.688451,-2.534325,-1.914964,0.577284
2.984298,0.037117,4.665110,-0.239576,12.690417,-2.536808,-1.915221,0.577312
2.984774,0.037432,4.665153,-0.236924,12.692376,-2.539291,-1.915476,0.577340
2.985249,0.037747,4.665191,-0.234271,12.694329,-2.541774,-1.915730,0.577367
2.985725,0.038062,4.665225,-0.231618,12.696275,-2.544258,-1.915982,0.577395
2.986200,0.038377,4.665255,-0.228964,12.698214,-2.546741,-1.916234,0.577422
2.986675,0.038692,4.665280,-0.226310,12.700147,-2.549225,-1.916484,0.577450
2.987150,0.039006,4.665301,-0.223655,12.702073,-2.551709,-1.916733,0.577477
2.987625,0.039321,4.665317,-0.220999,12.703992,-2.554193,-1.916982,0.577504
2.988100,0.039635,4.665329,-0.218343,12.705905,-2.556678,-1.917228,0.577532
2.988575,0.039949,4.665337,-0.215686,12.707811,-2.559162,-1.917474,0.577559
2.989049,0.040264,4.665340,-0.213029,12.709710,-2.561647,-1.917719,0.577586
2.989524,0.040578,4.665339,-0.210371,12.711603,-2.564132,-1.917962,0.577613
2.989998,0.040892,4.665334,-0.207712,12.713489,-2.566617,-1.918204,0.577640
2.990473,0.041206,4.665324,-0.205053,12.715368,-2.569102,-1.918445,0.577666
2.990947,0.041520,4.665310,-0.202393,12.717241,-2.571588,-1.918685,0.577693
2.991421,0.041833,4.665292,-0.199732,12.719107,-2.574073,-1.918924,0.577720
2.991895,0.042147,4.665269,-0.197071,12.720967,-2.576559,-1.919161,0.577747
2.992368,0.042461,4.665242,-0.194410,12.722819,-2.579045,-1.919398,0.577773
2.992842,0.042774,4.665211,-0.191748,12.724666,-2.581531,-1.919633,0.577800
2.993316,0.043088,4.665175,-0.189085,12.726505,-2.584017,-1.919867,0.577826
2.993789,0.043401,4.665135,-0.186422,12.728338,-2.586504,-1.920100,0.577852
2.994262,0.043714,4.665091,-0.183758,12.730164,-2.588990,-1.920331,0.577879
2.994736,0.044027,4.665042,-0.181094,12.731984,-2.591477,-1.920562,0.577905
2.995209,0.044340,4.664989,-0.178429,12.733797,-2.593964,-1.920791,0.577931
2.995682,0.044653,4.664932,-0.175763,12.735603,-2.596451,-1.921019,0.577957
2.996155,0.044966,4.664870,-0.173097,12.737403,-2.598939,-1.921246,0.577983
2.996627,0.045279,4.664804,-0.170431,12.739196,-2.601426,-1.921472,0.578009
2.997100,0.045591,4.664733,-0.167764,12.740982,-2.603914,-1.921697,0.578035
2.997573,0.045904,4.664659,-0.165096,12.742762,-2.606402,-1.921920,0.578060
2.998045,0.046216,4.664579,-0.162428,12.744535,-2.608890,-1.922143,0.578086
2.998517,0.046529,4.664496,-0.159759,12.746301,-2.611378,-1.922364,0.578112
