psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat,psi_d,x_d,y_d
3.275101,0.199924,-5.586503,1.665241,3.275107,-5.585492,1.670677,0.211049,-3.007802,-5.583186,1.659253
3.275169,0.199924,-5.588484,1.664977,3.275175,-5.587473,1.670414,0.211043,-3.007733,-5.585168,1.658986
3.275237,0.199924,-5.590466,1.664712,3.275243,-5.589454,1.670151,0.211037,-3.007665,-5.587149,1.658720
3.275306,0.199924,-5.592447,1.664447,3.275312,-5.591434,1.669888,0.211031,-3.007597,-5.589130,1.658453
3.275374,0.199924,-5.594429,1.664182,3.275380,-5.593415,1.669624,0.211025,-3.007529,-5.591111,1.658186
3.275442,0.199924,-5.596411,1.663916,3.275448,-5.595395,1.669361,0.211019,-3.007460,-5.593091,1.657918
3.275511,0.199924,-5.598392,1.663651,3.275517,-5.597376,1.669097,0.211013,-3.007392,-5.595072,1.657651
3.275579,0.199924,-5.600374,1.663386,3.275585,-5.599357,1.668834,0.211008,-3.007324,-5.597053,1.657383
3.275647,0.199924,-5.602355,1.663120,3.275653,-5.601337,1.668570,0.211002,-3.007255,-5.599034,1.657116
3.275716,0.199924,-5.604337,1.662854,3.275722,-5.603318,1.668306,0.210996,-3.007187,-5.601015,1.656848
3.275784,0.199924,-5.606318,1.662588,3.275790,-5.605298,1.668042,0.210990,-3.007118,-5.602996,1.656580
3.275852,0.199924,-5.608300,1.662322,3.275859,-5.607279,1.667777,0.210984,-3.007050,-5.604977,1.656312
3.275921,0.199924,-5.610281,1.662056,3.275927,-5.609259,1.667513,0.210978,-3.006981,-5.606958,1.656044
3.275989,0.199924,-5.612262,1.661790,3.275996,-5.611240,1.667248,0.210973,-3.006913,-5.608938,1.655775
3.276058,0.199924,-5.614244,1.661523,3.276064,-5.613220,1.666984,0.210967,-3.006844,-5.610919,1.655507
3.276127,0.199924,-5.616225,1.661257,3.276133,-5.615201,1.666719,0.210961,-3.006776,-5.612900,1.655238
3.276195,0.199924,-5.618207,1.660990,3.276201,-5.617181,1.666454,0.210955,-3.006707,-5.614881,1.654970
3.276264,0.199924,-5.620188,1.660723,3.276270,-5.619161,1.666189,0.210949,-3.006638,-5.616862,1.654701
3.276333,0.199924,-5.622169,1.660456,3.276339,-5.621142,1.665924,0.210944,-3.006570,-5.618842,1.654432
3.276401,0.199924,-5.624151,1.660189,3.276408,-5.623122,1.665658,0.210938,-3.006501,-5.620823,1.654163
3.276470,0.199924,-5.626132,1.659922,3.276476,-5.625102,1.665393,0.210932,-3.006432,-5.622804,1.653893
3.276539,0.199924,-5.628113,1.659654,3.276545,-5.627083,1.665127,0.210926,-3.006363,-5.624784,1.653624
3.276608,0.199924,-5.630094,1.659387,3.276614,-5.629063,1.664862,0.210920,-3.006295,-5.626765,1.653354
3.276676,0.199924,-5.632076,1.659119,3.276683,-5.631043,1.664596,0.210915,-3.006226,-5.628746,1.653085
3.276745,0.199924,-5.634057,1.658851,3.276752,-5.633023,1.664330,0.210909,-3.006157,-5.630726,1.652815
3.276814,0.199924,-5.636038,1.658583,3.276821,-5.635004,1.664064,0.210903,-3.006088,-5.632707,1.652545
3.276883,0.199924,-5.638019,1.658315,3.276889,-5.636984,1.663797,0.210897,-3.006019,-5.634687,1.652275
3.276952,0.199924,-5.640000,1.658047,3.276958,-5.638964,1.663531,0.210892,-3.005950,-5.636668,1.652005
3.277021,0.199924,-5.641982,1.657779,3.277027,-5.640944,1.663264,0.210886,-3.005881,-5.638648,1.651734
3.277090,0.199924,-5.643963,1.657510,3.277097,-5.642924,1.662998,0.210880,-3.005812,-5.640629,1.651464
3.277159,0.199924,-5.645944,1.657242,3.277166,-5.644905,1.662731,0.210874,-3.005743,-5.642609,1.651193
3.277228,0.199924,-5.647925,1.656973,3.277235,-5.646885,1.662464,0.210869,-3.005674,-5.644590,1.650922
3.277297,0.199924,-5.649906,1.656704,3.277304,-5.648865,1.662197,0.210863,-3.005605,-5.646570,1.650651
3.277367,0.199924,-5.651887,1.656435,3.277373,-5.650845,1.661930,0.210857,-3.005535,-5.648551,1.650380
3.277436,0.199924,-5.653868,1.656166,3.277442,-5.652825,1.661662,0.210851,-3.005466,-5.650531,1.650109
3.277505,0.199924,-5.655849,1.655897,3.277511,-5.654805,1.661395,0.210846,-3.005397,-5.652512,1.649838
3.277574,0.199924,-5.657830,1.655627,3.277581,-5.656785,1.661127,0.210840,-3.005328,-5.654492,1.649566
3.277644,0.199924,-5.659811,1.655358,3.277650,-5.658765,1.660859,0.210834,-3.005258,-5.656472,1.649295
3.277713,0.199924,-5.661792,1.655088,3.277719,-5.660745,1.660591,0.210828,-3.005189,-5.658453,1.649023
3.277782,0.199924,-5.663773,1.654818,3.277789,-5.662725,1.660323,0.210823,-3.005120,-5.660433,1.648751
3.277852,0.199924,-5.665754,1.654548,3.277858,-5.664705,1.660055,0.210817,-3.005050,-5.662413,1.648479
3.277921,0.199924,-5.667735,1.654278,3.277928,-5.666685,1.659787,0.210811,-3.004981,-5.664394,1.648207
3.277990,0.199924,-5.669716,1.654008,3.277997,-5.668665,1.659519,0.210806,-3.004911,-5.666374,1.647935
3.278060,0.199924,-5.671697,1.653737,3.278067,-5.670645,1.659250,0.210800,-3.004842,-5.668354,1.647662
3.278129,0.199924,-5.673678,1.653467,3.278136,-5.672625,1.658981,0.210794,-3.004772,-5.670334,1.647390
3.278199,0.199924,-5.675658,1.653196,3.278206,-5.674604,1.658713,0.210789,-3.004703,-5.672315,1.647117
3.278269,0.199924,-5.677639,1.652926,3.278275,-5.676584,1.658444,0.210783,-3.004633,-5.674295,1.646844
3.278338,0.199924,-5.679620,1.652655,3.278345,-5.678564,1.658174,0.210777,-3.004564,-5.676275,1.646571
3.278408,0.199924,-5.681601,1.652384,3.278415,-5.680544,1.657905,0.210771,-3.004494,-5.678255,1.646298
3.278478,0.199925,-5.683582,1.652112,3.278484,-5.682524,1.657636,0.210766,-3.004424,-5.680235,1.646025
3.278547,0.199925,-5.685562,1.651841,3.278554,-5.684503,1.657366,0.210760,-3.004354,-5.682215,1.645751
3.278617,0.199925,-5.687543,1.651570,3.278624,-5.686483,1.657097,0.210754,-3.004285,-5.684195,1.645478
3.278687,0.199925,-5.689524,1.651298,3.278694,-5.688463,1.656827,0.210749,-3.004215,-5.686175,1.645204
3.278757,0.199925,-5.691505,1.651026,3.278763,-5.690442,1.656557,0.210743,-3.004145,-5.688156,1.644930
